N;E_ID;point_N;T_ID;year;month;day;hour;min;sec;lat;lon
1;100670;1;1;2007;4;4;6;8;35;45.559654;9.255338
2;100670;2;1;2007;4;4;11;54;52;45.559826;9.242747
3;100670;3;1;2007;4;4;11;55;56;45.558155;9.254091
4;100670;4;1;2007;4;4;11;56;30;45.55777;9.253597
5;100670;5;1;2007;4;4;11;57;1;45.555424;9.251284
6;100670;6;1;2007;4;4;11;57;33;45.55406;9.250049
7;100670;7;1;2007;4;4;11;58;5;45.55213;9.246142
8;100670;8;1;2007;4;4;11;58;37;45.5506;9.244177
9;100670;9;1;2007;4;4;11;59;8;45.549644;9.241945
10;100670;10;1;2007;4;4;11;59;41;45.549015;9.237343
11;100670;11;1;2007;4;4;12;0;12;45.548923;9.23805
12;100670;12;1;2007;4;4;12;0;44;45.548267;9.239025
13;100670;13;1;2007;4;4;12;1;57;45.5488;9.23926
14;100670;14;1;2007;4;4;12;2;29;45.549583;9.242387
15;100670;15;1;2007;4;4;12;3;1;45.550896;9.244035
16;100670;16;1;2007;4;4;12;3;32;45.552036;9.245494
17;100670;17;1;2007;4;4;12;4;5;45.55232;9.248348
18;100670;18;1;2007;4;4;12;4;36;45.55225;9.248406
19;100670;19;1;2007;4;4;12;5;9;45.554718;9.250764
20;100670;20;1;2007;4;4;12;5;40;45.556854;9.25279
21;100670;21;1;2007;4;4;12;6;12;45.55687;9.252814
22;100670;22;1;2007;4;4;12;6;43;45.559734;9.255475
23;100735;1;2;2007;4;4;7;14;1;45.544098;9.266593
24;100735;2;2;2007;4;4;7;19;57;45.530666;9.276346
25;100735;3;2;2007;4;4;7;23;20;45.52523;9.272422
26;100735;4;2;2007;4;4;7;27;2;45.52523;9.272421
27;100735;5;2;2007;4;4;7;31;14;45.52922;9.278396
28;100735;6;2;2007;4;4;7;52;2;45.52922;9.278396
29;100735;7;2;2007;4;4;8;29;18;45.52789;9.276348
30;100735;8;2;2007;4;4;8;34;27;45.542244;9.269204
31;100735;9;2;2007;4;4;8;36;6;45.54422;9.267594
32;100735;10;2;2007;4;4;9;19;42;45.544598;9.266518
33;100735;11;2;2007;4;4;9;24;19;45.5288;9.266183
34;100735;12;2;2007;4;4;9;28;2;45.533844;9.246739
35;100735;13;2;2007;4;4;9;33;51;45.540092;9.229982
36;100735;14;2;2007;4;4;9;34;56;45.53934;9.22971
37;100735;15;2;2007;4;4;11;33;26;45.53977;9.229964
38;100735;16;2;2007;4;4;11;39;32;45.53087;9.25228
39;100735;17;2;2007;4;4;11;42;36;45.532276;9.267927
40;100735;18;2;2007;4;4;11;46;30;45.54449;9.267552
41;100783;1;3;2007;4;4;15;30;41;45.399998;9.268054
42;100783;2;3;2007;4;4;15;39;21;45.409;9.269158
43;100783;3;3;2007;4;4;16;46;30;45.410957;9.265107
44;100783;4;3;2007;4;4;16;49;16;45.403206;9.267705
45;100783;5;3;2007;4;4;19;53;51;45.403034;9.266866
46;100783;6;3;2007;4;4;19;56;39;45.40192;9.271643
47;100783;7;3;2007;4;4;19;59;7;45.4023;9.271731
48;100783;8;3;2007;4;4;20;2;41;45.414852;9.26256
49;100783;9;3;2007;4;4;20;7;50;45.425198;9.265361
50;100783;10;3;2007;4;4;21;10;0;45.42477;9.266816
51;100783;11;3;2007;4;4;21;23;38;45.416225;9.261702
52;100783;12;3;2007;4;4;21;26;14;45.404823;9.267589
53;100783;13;3;2007;4;4;21;27;59;45.40329;9.267816
54;101442;1;4;2007;4;4;6;7;39;45.55731;9.138786
55;101442;2;4;2007;4;4;6;11;29;45.541904;9.126309
56;101442;3;4;2007;4;4;6;19;5;45.544277;9.113041
57;101442;4;4;2007;4;4;6;40;25;45.544285;9.113031
58;101442;5;4;2007;4;4;6;42;49;45.542778;9.114164
59;101442;6;4;2007;4;4;6;49;3;45.54218;9.11311
60;101442;7;4;2007;4;4;6;53;46;45.539104;9.086944
61;101442;8;4;2007;4;4;6;57;1;45.531162;9.072065
62;101442;9;4;2007;4;4;9;14;57;45.540096;9.081051
63;101442;10;4;2007;4;4;9;19;29;45.54611;9.096907
64;101442;11;4;2007;4;4;9;23;2;45.55142;9.111443
65;101442;12;4;2007;4;4;9;25;37;45.55833;9.12767
66;101442;13;4;2007;4;4;9;28;10;45.556946;9.13904
67;101626;1;5;2007;4;4;10;45;38;45.559444;9.25626
68;101626;2;5;2007;4;4;10;47;44;45.559383;9.241191
69;101626;3;5;2007;4;4;10;48;17;45.554935;9.239452
70;101626;4;5;2007;4;4;10;48;48;45.55329;9.238815
71;101626;5;5;2007;4;4;10;49;19;45.55329;9.238808
72;101626;6;5;2007;4;4;10;49;52;45.54977;9.236787
73;101626;7;5;2007;4;4;10;50;23;45.546497;9.227357
74;101626;8;5;2007;4;4;10;50;55;45.544483;9.222179
75;101626;9;5;2007;4;4;10;51;27;45.54445;9.222132
76;101626;10;5;2007;4;4;10;51;58;45.541492;9.220313
77;101626;11;5;2007;4;4;10;52;31;45.53566;9.217053
78;101626;12;5;2007;4;4;10;53;2;45.53339;9.215797
79;101626;13;5;2007;4;4;10;53;34;45.533157;9.215842
80;101626;14;5;2007;4;4;10;54;6;45.53319;9.216074
81;101626;15;5;2007;4;4;10;54;38;45.535397;9.217366
82;101626;16;5;2007;4;4;10;55;9;45.54007;9.220199
83;101626;17;5;2007;4;4;10;55;51;45.54061;9.22063
84;101626;18;5;2007;4;4;12;33;50;45.53896;9.222788
85;101626;19;5;2007;4;4;12;37;41;45.55006;9.237355
86;101626;20;5;2007;4;4;12;39;39;45.559433;9.242781
87;101626;21;5;2007;4;4;12;42;20;45.558975;9.257163
88;101626;22;5;2007;4;4;12;42;59;45.556988;9.263101
89;101626;23;5;2007;4;4;12;43;31;45.557884;9.264307
90;102498;1;6;2007;4;4;8;33;35;45.414417;9.060713
91;102498;2;6;2007;4;4;8;39;40;45.42501;9.069423
92;102498;3;6;2007;4;4;8;40;50;45.427704;9.076335
93;102498;4;6;2007;4;4;8;41;22;45.429447;9.080654
94;102498;5;6;2007;4;4;8;41;53;45.430676;9.083904
95;102498;6;6;2007;4;4;8;42;57;45.43091;9.084679
96;102498;7;6;2007;4;4;8;43;28;45.43125;9.08436
97;102498;8;6;2007;4;4;8;44;1;45.431747;9.082702
98;102498;9;6;2007;4;4;8;44;22;45.431755;9.08272
99;102498;10;6;2007;4;4;9;36;46;45.431763;9.082545
100;102498;11;6;2007;4;4;9;39;51;45.434628;9.094278
101;102498;12;6;2007;4;4;9;42;10;45.443104;9.116967
102;102498;13;6;2007;4;4;9;47;2;45.45645;9.118181
103;102498;14;6;2007;4;4;9;51;12;45.460987;9.134813
104;102498;15;6;2007;4;4;10;32;16;45.46101;9.134959
105;102498;16;6;2007;4;4;10;36;12;45.45483;9.110334
106;102498;17;6;2007;4;4;10;38;16;45.45555;9.086601
107;102498;18;6;2007;4;4;10;38;48;45.45756;9.07859
108;102498;19;6;2007;4;4;10;39;20;45.45756;9.078562
109;102498;20;6;2007;4;4;10;39;52;45.457027;9.073369
110;102498;21;6;2007;4;4;10;40;25;45.45721;9.06802
